title,keywords,session_year,supervisor_name,category
A Descriptive Analysis of Seroprevalence of Hepatitis B Virus Infection Among Residents of Ife South Local Government,"hepatitis B, seroprevalence, blood donors, teaching hospital",2020,Dr. Oluwaseun,Epidemiology
Comparative Study of Epidemiology of Mental Health Disorders Among Residents of Osogbo Local Government,"mental health, epidemiology, adults, general hospital, disorders",2016,Prof. Bankole,Epidemiology
A Descriptive Analysis of Evaluation of Food Safety Practices in Open-Air Markets and Restaurants in Osogbo Metropolis Among Residents of Ife South Local Government,"food safety, open-air markets, restaurants, evaluation, Osogbo",2022,Dr. Folarin,Environmental Health
A Cross-Sectional Study of Epidemiological Profile of Diabetes Mellitus Patients Attending Primary Healthcare Centers in Osun Among Residents of Iwo Local Government,"diabetes mellitus, epidemiology, primary healthcare, Osun State",2015,Dr. Folarin,Epidemiology
An Exploratory Analysis of Climate Change Perceptions and Health Adaptation Strategies Among Residents of Osogbo Local Government,"climate change, health adaptation, farmers, perceptions, Osun State",2019,Prof. Adeoti,Environmental Health
A Cross-Sectional Study of Child Immunization Coverage and Barriers to Vaccine Uptake in Osun State Local Government Areas Among Residents of Ife North Local Government,"immunization, coverage, barriers, vaccine uptake, Osun State",2022,Dr. Folarin,Maternal & Child Health
Longitudinal Investigation of Community-Level HIV Stigma and Its Effect on Treatment Adherence Among Residents of Ilesha Local Government,"HIV stigma, treatment adherence, community, PLHIV, effect",2016,Dr. Adeyemi,Infectious Diseases
An Exploratory Analysis of Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020 Among Residents of Ilesha Local Government,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2019,Prof. Onyeka,Maternal & Child Health
Hospital-Based Assessment of Prevalence of Overweight and Obesity Among Residents of Ede Local Government,"overweight, obesity, adolescents, secondary school, Osogbo",2020,Prof. Adesanya,Epidemiology
Hospital-Based Assessment of COVID-19 Infection Patterns and Mortality Outcomes in Osun State Isolation Centers 2020-2021 Among Residents of Iwo Local Government,"COVID-19, infection patterns, mortality, isolation centers, Osun State",2015,Prof. Bankole,Infectious Diseases
A Descriptive Analysis of Anemia in Pregnancy Prevalence and Its Effect on Birth Outcomes in Southwest Nigerian Hospitals Among Residents of Ife South Local Government,"anaemia in pregnancy, birth outcomes, Southwest Nigeria, hospitals, prevalence",2019,Prof. Nwosu,Maternal & Child Health
Retrospective Review of Health Financing Strategies and Their Effect on Out-of-Pocket Expenditure in Osun State Among Residents of Boripe Local Government,"health financing, out-of-pocket, expenditure, Osun State, strategy",2019,Prof. Afolabi,Health Policy
