title,keywords,session_year,supervisor_name,category
Epidemiology of Road Traffic Injuries and Fatalities in Urban Communities of Southwest Nigeria,"road traffic injuries, fatalities, urban, epidemiology, Southwest",2022,Prof. Eze,Epidemiology
Knowledge Attitude and Practice Regarding Lassa Fever Prevention Among Healthcare Workers in Osun,"Lassa fever, knowledge, attitude, practice, healthcare workers",2018,Dr. Babatunde,Infectious Diseases
Multidrug-Resistant Tuberculosis Prevalence and Treatment Outcomes in Southwest Nigeria Hospitals,"multidrug-resistant tuberculosis, MDR-TB, prevalence, treatment, Southwest Nigeria",2015,Dr. Nnamdi,Infectious Diseases
Sample Size Determination and Power Analysis in Public Health Research Studies at Nigerian Universities,"sample size, power analysis, public health research, Nigeria, biostatistics",2016,Prof. Okafor,Biostatistics
Intestinal Parasitic Infections Among Schoolchildren and Associated Environmental Risk Factors in Osun,"intestinal parasites, schoolchildren, environmental risk, infections, Osun",2021,Prof. Adeoti,Infectious Diseases
Review of Immunization Policy Compliance and Vaccination Coverage in Osun State Communities,"immunization policy, compliance, vaccination coverage, Osun, communities",2016,Dr. Chukwu,Health Policy
Factors Influencing Insecticide-Treated Net Use Among Households in Rural Osun State Nigeria,"insecticide-treated net, household, malaria prevention, rural, Osun",2017,Dr. Babatunde,Infectious Diseases
Community-Level HIV Stigma and Its Effect on Treatment Adherence Among People Living with HIV,"HIV stigma, treatment adherence, community, PLHIV, effect",2017,Dr. Nwachukwu,Infectious Diseases
Assessment of Childhood Immunization Against Vaccine-Preventable Diseases in UNIOSUN Catchment Areas,"childhood immunization, vaccine-preventable diseases, UNIOSUN, catchment area",2017,Prof. Eze,Infectious Diseases
Principal Component Analysis of Socioeconomic Determinants of Health Outcomes in Southwest Nigeria,"principal component analysis, socioeconomic determinants, health outcomes, Nigeria",2019,Dr. Folarin,Biostatistics
Occupational Hazard Exposure and Health Outcomes Among Automobile Mechanics in Osogbo Nigeria,"occupational hazard, automobile mechanics, health outcomes, exposure, Osogbo",2017,Prof. Adebayo,Environmental Health
Gestational Diabetes Prevalence and Management Practices Among Pregnant Women in Osogbo Nigeria,"gestational diabetes, prevalence, management, pregnant women, Osogbo",2020,Prof. Adewale,Maternal & Child Health
Factors Associated with Recurrent Malaria Episodes Among Under-Five Children in Osun State Communities,"recurrent malaria, under-five, risk factors, Osun State, episodes",2017,Dr. Akinwande,Infectious Diseases
Regulatory Framework for Traditional Medicine Practice in Osun State Health Policy Context,"traditional medicine, regulation, policy, Osun State, practice",2018,Prof. Fasola,Health Policy
Epidemiology of Mental Health Disorders Among Adults Attending General Hospitals in Osun State,"mental health, epidemiology, adults, general hospital, disorders",2018,Dr. Oluwaseun,Epidemiology
